Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
W1CKWlTyNho,Hoje foi dia de Blackview Saturday na Mega Eletrônicos! 🎉🖤,"May 31, 2025",37,3,0.0021,0,81,0
6QVAsEUBeBs,O controle dos campeões 😎,"May 4, 2025",39,3,0.0066,0,52,0
W1RTYhOssJY,"Hoje a energia na Mega Eletrônicos estava lá em cima! ✨ Comida típica, prêmios e muita diversão🎉","Apr 5, 2025",50,3,0.0023,0,55,0
T70i-JBFw9c,🎥 Respondendo as caixinhas de perguntas!,"Jun 10, 2025",29,3,0.0079,0,40,0
iV3WpWWVIGY,"Produtos para casa, na mega eletrônicos 😍","Apr 17, 2025",22,3,0.0019,0,51,0
nTGBk4_nB1E,🎉 Assim foi o nosso primeiro dia de São João na Mega:,"Jun 20, 2025",20,3,0.0045,0,77,0
um1gdaPdvow,"Oooohhh nãããão, a poliziaaa 😂Quem aí já passou por isso? 🙈","May 28, 2025",11,3,0.0031,0,103,0
d9a96xDUc5Q,"“O seu cabelo é lindo”, Claro! Eu uso….","Sep 17, 2025",49,3,0.0093,0,42,0
B0Cxd5_90BM,Evento da Promo Fim de Ano Premiado 2016 | MEGA ELETRÔNICOS,"Feb 27, 2017",133,3,0.0482,0,59,1.69
UCH9ah4QiAw,A Câmera Mais Completa da Xiaomi!,"Mar 19, 2025",37,3,0.0109,0,14,7.14
zGJWOKtnWyU,📷 A revolução das câmeras chegou #applelovers,"Sep 23, 2025",42,3,0.0065,0,56,0
cR451voalp0,Produtos xiaomi que você não sabia que existia !! 🔥🚀,"Feb 11, 2025",24,3,0.01,0,66,3.03
dvcNcEEe8a4,Notebook aqui na Mega Eletrônicos,"Jan 27, 2025",30,3,0.0161,1,25,0
NzBlrL57jsQ,O tão esperado AirPod Pro 3 🤩,"Sep 9, 2025",19,3,0.0028,0,36,0
gSjymrKE8go,Infinix GT 30 Pro,"Aug 22, 2025",52,3,0.0199,0,34,0
gIQO-bexjts,"Tela grande, câmera potente e bateria duradoura.🔥","Feb 17, 2025",34,3,0.0127,0,51,0
ALyUBBNJwmU,Lançamento IPhone 17,"Aug 19, 2025",41,3,0.003,0,42,0
4PMgA4jj24g,Celular por $69 o mais barato que você vai encontrar,"Apr 23, 2025",35,3,0.0092,0,21,0
H3SGT1WLtsQ,16 de septiembre de 2025,"Sep 16, 2025",43,3,0.0389,0,39,0
PFl-rCpTMKw,Hoje o amor invadiu a mega 💘,"Jun 8, 2025",60,3,0.0027,0,24,0
S7VnoewYFDE,Já pensou ter a pele igual das coreanas?,"Aug 1, 2025",48,3,0.0062,0,44,2.27
pQXWbJ4k48U,Quem sabe mais de cosméticos?,"Aug 24, 2025",63,3,0.0069,0,51,3.92
Mpbd3_AmOFc,📦 Unboxing do DOOGEE Blade10 Pro Energy 🚀,"Oct 16, 2025",39,3,0.0028,0,63,0
O2rCXR4pNWg,TESTAMOS A POLAROID POP NO CITY TOUR | FÉRIAS EM FOZ,"Aug 16, 2019",985,3,0.0081,0,119,1.68
uFFtHouBIkU,MOSTRANDO O NINTENDO SWITCH LITE | MEGA ELETRÔNICOS,"Oct 2, 2019",216,3,0.0301,1,97,3.09
_kk555ToKxQ,Frecuencia 852 Ghz + Aiwa,"May 15, 2025",12,3,0.0008,0,22,0
KXgS4HIkyJM,O Dia dos Namorados está chegando,"Jun 6, 2025",32,3,0.0026,0,41,0
RtG70e67AFk,📱 Chegou a hora de parar de se decepcionar e começar a fazer boas escolhas! 💥,"Apr 24, 2025",33,3,0.0016,0,28,0
lv-pba7BOTg,Promoção de Páscoa eletrônicos Paraguai,"Apr 12, 2025",39,2,0.0027,0,43,2.33
cVT0oPizHJA,"Celulares por menos de R$ 500,00","Aug 20, 2025",28,2,0.0012,0,34,0
66ir-OBe3U0,Mentiras e verdades sobre eletrônicos,"Apr 30, 2025",52,2,0.0007,0,31,0
xR4Pr1mQ1DA,3 de mayo de 2025,"May 3, 2025",25,2,0.0008,0,14,0
o9Ju15GiT0c,Quer receber seu pedido mais rápido? 🚀,"Jul 23, 2025",11,2,0.0012,0,55,0
Uom5UTn4_ao,Último día de Crazy,"May 12, 2025",33,2,0.0007,0,15,0
1d2-6o-RO1M,ASUS Vivobook S15 💻✨,"Apr 8, 2025",51,2,0.0022,0,15,0
9g8CrPH26hg,"Lançamento Realme C67, será que é bom mesmo?","Jan 10, 2024",149,2,0.0334,1,500,0.4
gQ1bB_BVEYo,O novo IPhone 17 🔥,"Sep 9, 2025",38,2,0.0056,0,35,0
pJLDBFkTZlw,Quando você chega procurando pelo vendedor que te atendeu no whats 🤣,"Apr 19, 2025",22,2,0.002,0,25,4
6e2gDEMeimc,Edição Xbox !,"Jan 19, 2025",29,2,0.0079,0,13,0
EXsL9zlpaYQ,Feliz dia do designer,"Apr 27, 2025",7,2,0.0052,0,44,2.27
PY9Q_rSXDlQ,Realme 14 pro +,"May 15, 2025",45,2,0.0116,0,13,0
om8rTZh9rgQ,Samsung e Apple em apuros?? 😳😱,"Feb 23, 2025",44,2,0.0125,0,18,5.56
hv_cxTuIWgw,📱💥 Um pequeno gigante que impressiona!,"Jul 1, 2025",45,2,0.0024,0,77,1.3
uLKhserKlvI,Batería de 15.000 Mah 😱😱 que dura 5 días?,"Aug 28, 2025",52,2,0.008,0,33,0
c8I3v-6iy4k,Prometeram PC... entregamos até a vendedora 🤣💻 Olha esse KIT completão por menos de R$ 3.000!,"Apr 10, 2025",20,2,0.0017,0,83,0
hJU0rPYEKxo,Mega arraia 28/08 com Mariana menezes,"Jun 28, 2025",28,2,0.0008,0,96,0
li-QeFOIUaE,🍂 O outono chegou,"May 19, 2025",43,2,0.0004,0,30,0
fM3_gmK8wEM,💘 Feliz Dia dos Namorados!,"Jun 12, 2025",81,2,0.0015,0,80,0
a2s3CHsFiSA,O lançamento mais ULTRA da Xiaomi!,"Apr 3, 2025",58,2,0.0032,0,52,1.92
B98wxE7PJNE,Unboxing: Nikon Z50,"Mar 25, 2025",40,2,0.0017,0,11,0
BpFCkswmfb0,UNBOXING XIAOMI MI SMART BAND 4 | MEGA ELETRÔNICOS,"Jul 18, 2019",405,2,0.0043,0,70,1.43
Dr0TKtvHzF8,A Crazy Week está chegando e muitas promoções vem com ela! 😍,"Apr 22, 2025",32,2,0.0003,0,25,0
gPLiCmNfYaU,Produtos essenciais para você curtir o Carnaval 🥳🥳🎭,"Mar 1, 2025",45,1,0.0003,0,61,0
8ExrhYlPkGw,"3 whisky premium por menos de R$ 200,00 🥃🔥","Feb 20, 2025",19,1,0.0002,0,10,0
l74n1hOPQVY,Unboxing da Lety de presentes de Natal 🎅,"Dec 16, 2025",66,1,0.0015,0,4,25
bo8Vixdw2S4,GoPro Hero 13 Black,"Jan 20, 2025",40,1,0.0003,0,14,0
SumvRjo7ojw,Mega Arraia 20-06,"Jun 19, 2025",17,1,0.0004,0,36,0
Q2KAhHoaVMg,IPhone reliquias🤩,"Feb 9, 2025",32,1,0.0039,0,105,0
 -gPgetpAHeU,Mega Pai - Encerramento,"Aug 9, 2025",31,1,0.0003,0,80,0
kuQEzQioeqs,APAIXONAMOS PELOS GALAXY NOTE 10 E NOTE 10+ | MEGA ELETRÔNICOS,"Sep 12, 2019",741,1,0,0,106,0.94
ioWtTXY39sI,LOGITECH VS RAZER | MEGA ELETRÔNICOS,"Nov 28, 2019",1013,1,0.0029,0,132,0
pl4Yjl014pQ,Mega Eletrônicos - Promoção de Outono,"Mar 26, 2025",37,1,0.0004,0,36,0
0QUO3-5jGAU,"Muitas novidades crazys estão por vir... 👀 A data, você já sabe: 8 a 11 de maio 🔥","Apr 8, 2025",15,1,0.0003,0,41,0
tQipglT0g1U,Mega Páscoa 🐰,"Apr 21, 2025",44,1,0.0002,0,24,0
rKvZVv2vtwU,Os celulares mais cobiçados do momento 🤩,"Feb 26, 2025",32,1,0.0005,0,19,0
E6_sxaeLdvY,¡Como Comprar Online en Mega desde Paraguay! (Los mejores precios),"Sep 23, 2020",76,1,0.0208,0,1,0
hFPmkvcvvGA,Novo iPhone?,"Feb 22, 2025",37,1,0.0007,0,19,0
6FjJN4mwClg,UNBOXING PATINETE ELÉTRICO XIAOMI MI M365 | MEGA ELETRÔNICOS,"Jun 26, 2019",488,1,0.024,0,88,0
6YUcZwxzt0Y,VT Mega Eletrônicos 2017 | MEGA ELETRÔNICOS,"Sep 5, 2019",31,1,0.0084,0,110,0
rUHv4ERR04s,MEGA PAI merece MEGA PRÊMIO! 💙🎁,"Aug 4, 2025",28,1,0.0002,0,84,0
wvVYVxiaghI,Evento De Boas Vindas ao Outono,"Mar 29, 2025",47,1,0.0003,0,25,0
iq8pDbu0zMk,Todo vendedor já passou por isso 😅,"Jun 25, 2025",9,1,0.0005,0,65,0
8Yblewu9OIk,O primeiro celular dobrável da Motorola!!! 🔥🚀,"Feb 18, 2025",59,1,0.0015,0,38,0
NgkWD6LOc-Y,Opções de notebook para volta as aulas!! 🔥🚀,"Feb 14, 2025",24,1,0.0012,0,26,0
W0jg1-aOtdQ,TUDO SOBRE O XIAOMI NOTE 10 | MEGA ELETRÔNICOS,"Jan 27, 2020",784,1,0.0422,0,194,0.52
k5A3_XUWUiE,"Fones de ouvido BBB: bom, bonito e barato!","Mar 25, 2025",23,1,0.0035,0,15,0
1SaVTCul-IE,Acertou Ganhou! #shorts,"Jan 23, 2025",83,,,,12,0
UhcbKmRn53k,AMAMOS O XIAOMI MI 9 LITE | MEGA ELETRÔNICOS,"Oct 11, 2019",375,,,,103,0
LBn6njJjEcM,Vale a pena comprar no Paraguai?,"Jan 25, 2025",38,,,,10,0
Gvl7J5HiNik,VALE a PENA? Review Samsung M31 (Voltamos com tudo),"Jun 4, 2021",251,,,,226,0
Tjwhz1lM9HM,Kit Gamer por R$ 3.000! #shorts,"Jan 22, 2025",27,,,,14,0
UR-k8iB1OYU,8 de mayo de 2025,"May 8, 2025",74,,,,1,0
B0RQwbxQicU,Vocês pediram pc … 🤩🔥,"Feb 8, 2025",40,,,,15,0
